partNumber,depth,height,length,weight
"M74X22,M74X22,024052906967","74","9","52.5","40"
"M74X32,M74X32,024052906974","79","9","59.5","45"
"M74X42,M74X42,024052906981","79","9","37.5","36"
"M75X12,M75X12,024052906998","74","5","37.5","30"
"M75X22,M75X22,024052907001","74","5","52.5","35"
"M75X32,M75X32,024052907018","79","5","59.5","40"
"M75X42,M75X42,024052907025","79","5","37.5","31"
"M78X12,M78X12,024052802832","74","5","38","29"
"M78X22,M78X22,024052802849","53","5","74","39"
"M78X32,M78X32,024052802856","79","5","60.58","43"
"M78X42,M78X42,024052802863","78.88","5.13","75.5","49"
"M78X72,M78X72,024052802870","78.5","5","38","29"
"M78X92,M78X92,024052802887","71.5","5","82.75","53"
"M82410,M82410,024052534740","20","6","28","17"
"M82410P,M82410P,024052534757","20","6","28","1.7"
"M82411,M82411,024052539073","20","6","28","8"
"M82411P,M82411P,024052539080","20","6","28","2"
"M82412P,M82412P,024052534733","18.5","6","26.5","2.4"
"M82413P,M82413P,024052534771","18","6","24","2.4"
"M82510,M82510,024052374391","17.75","6.5","28","34"
"M82510P,M82510P,024052389074","17.75","6.5","28","3.4"
"M87411,M87411,024052499605","74","10","37","48.81"
"M87421,M87421,024052499612","74","10","52","62.37"
"M87431,M87431,024052499629","79","10","59","72.53"
"M87441,M87441,024052499636","79","10","75","88.26"
"M87451,M87451,024052499643","83","10","71","85.15"
"M8X132,M8X132,024052512014","79","14","59","117.3"
"M8X142,M8X142,024052512045","79","14","75","151.8"
"M8X222,M8X222,024052847031","74.63","14.63","51.88","104"
"M8X232,M8X232,024052847048","79.63","14.63","58","114"
"M8X242,M8X242,024052847055","78.88","14.63","73.88","127"
"M8X252,M8X252,024052847062","83.75","14.63","70","125"
"M8X272,M8X272,024052847079","78.88","14.63","36.88","92"
"M8X332,M8X332,024052857368","79.25","15.38","59.75","163"
"M8X342,M8X342,024052857375","79.25","15.38","75.75","205"
"M8X352,M8X352,024052857382","83.25","15.38","71.63","206"
"M8X372,M8X372,024052857399","79.25","15.38","38","122"
"M91X12,M91X12,024052470284","74","14","37.5","22"
"M91X22,M91X22,024052470291","74","14","53","33"
"M91X32,M91X32,024052470307","79","14","59","37"
"M91X42,M91X42,024052470314","79","14","74","42"
"M95X42,M95X42,024052776515","79","9.88","75.5","55"
"M95X72,M95X72,024052780451","78.75","10","38","33"
"M96311,M96311,024052405736","74","6","37","31"
"M96321,M96321,024052405743","74","6","52","43"
"M96331,M96331,024052405750","79","6","59","53"
"M98X12,M98X12,024052791778","73.88","9.88","38","32"
"M98X22,M98X22,024052791785","73.88","9.88","53","45"
"M98X32,M98X32,024052791792","79","9.88","59.63","48"
"M98X42,M98X42,024052791815","78.75","9.88","75.63","55"
"M98X72,M98X72,024052791822","78.88","9.88","38","33"
"M98X92,M98X92,024052791839","82.75","10","71.63","57"
"M9X732,M9X732,024052497656","79","15","59","117"
"M9X742,M9X742,024052497694","79","15","75","153"
"M9X752,M9X752,024052497700","83","15","71","167.2"
"M9X832,M9X832,024052497717","79","14","59","141"
"M9X842,M9X842,024052497724","79","14","75","182"
"M9X852,M9X852,024052497731","83","14","71","183"
"M9X872,M9X872,024052501629","79","14","37","106"
"M9X932,M9X932,024052497748","79","14","59","155.5"
"M9X942,M9X942,024052497755","79","14","75","198.2"
"M9X952,M9X952,024052497762","83","14","71","196"
"M9X972,M9X972,024052501636","79","14","37","120.1"
"M41011,M41011,024052857405","74.5","12","38","48.1"
"M41021,M41021,024052857412","74.5","12","53","66.6"
"M41031,M41031,024052857429","79.5","12","60","80"
"M41041,M41041,024052857436","79.5","12","76","101.3"
"M41051,M41051,024052857443","83.5","12","72","100.8"
"M41071,M41071,024052857450","79.5","12","38","57.4"
"M41111,M41111,024052857467","74.5","12","38","50.5"
"M41121,M41121,024052857474","74.5","12","53","69.9"
"M41131,M41131,024052857481","79.5","12","60","84"
"M41141,M41141,024052857498","79.5","12","76","106.4"
"M41151,M41151,024052857504","83.5","12","72","105.8"
"M41171,M41171,024052857511","79.5","12","38","60.2"
"M41211,M41211,024052857528","74.5","13","38","55.9"
"M41221,M41221,024052857535","74.5","13","53","77.4"
"M41231,M41231,024052857542","79.5","13","60","93"
"M41241,M41241,024052857559","79.5","13","76","117.8"
"M41251,M41251,024052857566","83.5","13","72","117.2"
"M41511,M41511,024052847161","74.5","14","38","65"
"M41521,M41521,024052847178","74.5","14","53","89"
"M41531,M41531,024052847185","79.5","14","60","104"
"M41541,M41541,024052847192","79.5","14","76","130"
"M41551,M41551,024052847208","83.5","14","72","131"
"M41611,M41611,024052847215","74.5","14","38","65"
"M41621,M41621,024052847222","74.5","14","53","89"
"M41631,M41631,024052847239","79.5","14","60","102"
"M41641,M41641,024052847246","79.5","14","76","128"
"M41651,M41651,024052847253","83.5","14","72","129"
"M41721,M41721,024052847260","74.5","14.75","53","99"
"M41731,M41731,024052847277","79.5","14.75","60","116"
"M41741,M41741,024052847284","79.5","14.75","76","145"
"M41751,M41751,024052847291","83.5","14.75","72","145"
"M42511,M42511,024052847307","74.5","10","38","42"
"M42521,M42521,024052847314","74.5","10","53","58"
"M42531,M42531,024052847321","79.5","10","60","69"
"M42541,M42541,024052847338","79.5","10","76","88"
"M42551,M42551,024052847345","83.5","10","72","87"
"M42611,M42611,024052849554","74.5","12","38","43"
"M42621,M42621,024052849561","74.5","12","53","60"
"M42631,M42631,024052849578","79.5","12","60","71"
"M42641,M42641,024052849585","79.5","12","76","91"
"M42651,M42651,024052849592","83.5","12","72","90"
"M42731,M42731,024052849660","79.5","14","60","89"
"M42741,M42741,024052849677","79.5","14","76","112"
"M42751,M42751,024052849684","83.5","14","72","111"
"M43011,M43011,024052857573","74.5","7","38","9.72"
"M43021,M43021,024052857580","74.5","7","53","13.2"
"M43111,M43111,024052857603","74.5","7","38","9.72"
"M43121,M43121,024052857610","74.5","7","53","13.2"
"M43511,M43511,024052870848","74.5","12","38","51.12"
"M43521,M43521,024052870855","74.5","12","53","70.76"
"M43531,M43531,024052870862","79.5","12","60","85"
"M43541,M43541,024052870879","79.5","12","76","107.67"
"M43551,M43551,024052870886","83.5","12","72","107.1"
"M43571,M43571,024052870893","79.5","12","38","63.21"
"M43621,M43621,024052870701","74.5","13","53","75.75"
"M43631,M43631,024052870718","79.5","13","60","91"
"M43641,M43641,024052870725","79.5","13","76","115.27"
"M43651,M43651,024052870732","83.5","13","72","114.66"
"M43731,M43731,024052870749","79.5","14","60","105"
"M43741,M43741,024052870756","79.5","14","76","133"
"M43751,M43751,024052870763","83.5","14","72","132.3"
"M43831,M43831,024052899917","79.5","12","60","85"
"M43841,M43841,024052899924","79.5","12","76","107.67"
